code,name,academic_units
BF3212,"TRADE, STRUCTURED & SUPPLY CHAIN FINANCE",2
BF3213,ENTERPRISE RISK MANAGEMENT IN COMMODITY MARKETS,2
BF3214,COMMODITIES TRADING,2
BF3215,CORPORATE FINANCE & STRATEGY,3
BF3216,FIXED INCOME SECURITIES,3
BF3217,EQUITY VALUATION,3
BF3218,FINANCIAL MODELLING,3
BF3219,ALTERNATIVE INVESTMENTS,3
BF3220,PORTFOLIO MANAGEMENT & ANALYSIS,3
BF3222,BLOCKCHAIN & AI IN FINANCE,4
BF3223,BLOCKCHAIN & AI IN FINANCE,3
BF3224,EQUITY INVESTING WITH BIG DATA,4
BF3226,STRATEGIC MANAGEMENT IN COMMODITY MARKET,2
BF3228,EQUITY INVESTING WITH BIG DATA,3
BG1141,CELLULAR & MOLECULAR BIOLOGY FOR BIOENGINEERS,3
BG1801,BIOENGINEERING LAB 1A,1
BG1802,BIOENGINEERING LAB 1B,1
BG2103,BIOSIGNAL PROCESSING,3
BG2104,ELECTRONICS FOR BIOMEDICAL ENGINEERS,3
BG2110,BIOELECTRICITY,3
BG2119,ANATOMY & PHYSIOLOGY,3
BG2131,BIOMATERIALS,3
BG2142,BIOLOGICAL THERMODYNAMICS,3
BG2209,MECHANICS FOR BIOENGINEERS,3
BG2211,INTRODUCTION TO COMPUTATIONAL THINKING,3
BG2801,BIOENGINEERING LAB 2A,1
BG2802,BIOENGINEERING LAB 2B,1
BG3102,CONTROL IN BIOSYSTEMS,3
BG3104,BIOMEDICAL IMAGING,3
BG3105,BIOMEDICAL INSTRUMENTATION,3
BG3112,CARDIOVASCULAR ENGINEERING,3
BG3801,BIOENGINEERING LAB 3,1
BG4102,MEDICAL DEVICE DESIGN,4
BG4103,BIOMEDICAL PROJECT DESIGN &  MANAGEMENT,4
BG4104,MACHINE LEARNING & OPTIMISATION FOR BIOENGINEERS,3
BG4122,MEDICAL DEVICE DESIGN,6
BG4211,CNYSP OVERSEAS FINAL YEAR PROJECT,8
BG4215,BIOMEDICAL NANOTECHNOLOGY,3
BG4231,ADVANCED BIOMATERIALS,3
BG4309,DRUG DELIVERY & TISSUE ENGINEERING,3
BG4313,GLOBAL MEDICAL DEVICE REGULATORY OVERVIEW,3
BG4341,FUNDAMENTALS OF INTELLECTUAL PROPERTY IN BIOMEDICAL ENGINEER,3
BH2601,STRATEGIC HR MANAGEMENT & CONSULTING,4
BH2602,TOTAL REWARDS MANAGEMENT,4
BH2603,TALENT SOURCING & ACQUISITION,4
BH2604,MANAGING & CONSULTING THROUGH RESEARCH,4
BH2605,STRATEGIC HUMAN RESOURCE MANAGEMENT & CONSULTING,3
BH2606,TOTAL REWARDS MANAGEMENT,3
BH2607,TALENT SOURCING & ACQUISITION,3
BH2608,MANAGING & CONSULTING THROUGH RESEARCH,3
BH3301,EMPLOYMENT LAW,4
BH3302,EMPLOYMENT LAW,3
BH3601,TALENT DEVELOPMENT & MANAGEMENT,4
BH3602,"HR TECHNOLOGY, METRICS & PERFORMANCE MANAGEMENT",4
BH3603,CULTURAL INTELLIGENCE AT WORK,4
BH3604,MANAGING ORGANIZATIONAL CHANGE,4
BH3605,TALENT DEVELOPMENT & MANAGEMENT,3
BH3606,HR ANALYTICS,3
BL5302,LAW OF INTELLECTUAL PROPERTY & NEW MEDIA,4
BL5305,ADVANCED TAXATION,4
BM2501,MARKET BEHAVIOUR,4
BM2502,MARKETING INTELLIGENCE: AI & DATA-DRIVEN INSIGHTS,4
BM2504,INTEGRATED MARKETING COMMUNICATIONS,4
BM2505,CHANNEL VALUE CREATION,4
BM2506,DIGITAL MARKETING:CONNECTING WITH CUSTOMERS IN TODAY'S WORLD,4
BM2507,MARKETING ANALYTICS,4
BM2508,MODERN TECHNOLOGIES IN MARKETING,4
BM2509,CONSUMER INSIGHTS,3
BM2510,MARKETING INTELLIGENCE: AI & DATA-DRIVEN INSIGHTS,3
BM2512,INTEGRATED MARKETING COMMUNICATIONS,3
BM2513,CHANNEL VALUE CREATION,3
BM2514,DIGITAL MARKETING,3
BM2515,MARKETING ANALYTICS,3
BM2516,MODERN TECHNOLOGIES IN MARKETING,3
BM2517,MARKETING SUSTAINABILITY FOR THE NEXT GENERATION,3
BM2518,TECH-POWERED MARKETING STRATEGIES FOR FMCG BRANDS,3
BM3501,MARKETING STRATEGY,4
BM3506,STRATEGIC BRAND MANAGEMENT,4
BM3508,MARKETING STRATEGY,3
BM3509,STRATEGIC BRAND MANAGEMENT,3
BR2207,QUANTITATIVE ANALYSIS,3
BR2208,FOUNDATION OF RISK MANAGEMENT,3
BR2210,FINANCIAL RISK MANAGEMENT,3
BR2211,FINANCIAL & RISK ANALYTICS I,3
BR3208,OPERATIONAL RISK MANAGEMENT,4
BR3211,OPERATIONAL RISK & RESILIENCY,3
BR3212,COMPUTING SOLUTIONS FOR RISK MANAGEMENT & INSURANCE,3
BR3213,VALUATION & RISK MODELS,3
BR3214,FINANCIAL & RISK ANALYTICS II,3
BR3229,CLIMATE RISK ANALYTICS,3
BS0004,INTRODUCTION TO DATA SCIENCE,3
BS1001,INTRODUCTORY BIOLOGY,3
BS1005,BIOCHEMISTRY I,3
BS1006,PRINCIPLES OF GENETICS,3
BS1007,MOLECULAR & CELL BIOLOGY I,3
BS1008,BIOSTATISTICS,3
BS1009,INTRODUCTION TO COMPUTATIONAL THINKING,3
BS1012,FOUNDATIONS OF CHEMISTRY I,3
BS1013,FOUNDATIONS OF CHEMISTRY II,3
BS1016,PHYSIOLOGY,3
BS1022,LABORATORY FOR FOUNDATIONS OF CHEMISTRY I,1
BS1033,LABORATORY FOR FOUNDATIONS OF CHEMISTRY II,1
BS1100,MOLECULAR & CELL BIOLOGY TECHNIQUES LEVEL 1,3
BS1103,CHINESE MEDICINE FOUNDATIONAL THEORIES,3
BS1104,ANCIENT CHINESE LITERATURE STUDIES,2
BS1105,CHINESE MEDICINE DIAGNOSTICS,3
BS1106,BASICS OF ACUPUNCTURE,4
BS1107,CM CLINICAL TRAINING 1,1
BS1200,UNDERSTANDING SINGAPORE HEALTHCARE SYSTEM,3
BS2002,MICROBIOLOGY,3
BS2003,BIOCHEMISTRY II,3
BS2004,MOLECULAR & CELL BIOLOGY II,3
BS2010,BIOIMAGING,3
BS2011,EQUATIONS OF LIFE,3
BS2020,MATHEMATICS & PHYSICS FOR THE STRUCTURAL BIOLOGIST,3
BS2021,RNA STRUCTURES & RNA BASED DRUG DEVELOPMENT,3
BS2023,REGULATORY CONTROL OF HEALTHCARE PRODUCTS & MEDICAL DEVICES,3
BS2024,EVOLUTION IN HEALTH & DISEASE,3
BS2025,ONE HEALTH,3
BS2028,INSTRUMENTATION FOR THE ANALYSIS OF BIOLOGICAL SYSTEMS,3
BS2029,INTRODUCTION TO LABORATORY MEDICINE,3
BS2100,MOLECULAR & CELL BIOLOGY TECHNIQUES LEVEL 2,3
BS2101,ANATOMY,3
BS2102,CHINESE MATERIA MEDICA,6
BS2103,TCM DIAGNOSTICS,6
BS2104,BIOMEDICAL PHARMACOLOGY,3
BS2105,EMPEROR'S CANON OF INTERNAL MEDICINE,6
BS2106,TCM FORMULARY,8
BS2107,TCM INTERNSHIP I,3
BS2108,CLINICAL ACUPUNCTURE,3
BS2109,CM CLASSIC EMPEROR?S CANON OF INTERNAL MEDICINE,2
BS2110,MATERIAL MEDICA OF CHINESE MEDICINE,3
BS2111,CM CLINICAL TRAINING 2,1
BS2112,CHINESE MEDICINE TUI-NA,4
BS2113,PHARMACOLOGY,3
BS2114,CHINESE MEDICINE PHARMACOLOGY,3
BS2115,CHINESE MEDICINE FORMULARY,3
BS2116,CM CLINICAL TRAINING 3,2
BS3003,DEVELOPMENTAL BIOLOGY,3
BS3004,CANCER BIOLOGY & THERAPY,3
BS3006,BIOENTREPRENEURSHIP,3
BS3008,COMPUTER AIDED DRUG DISCOVERY,3
BS3013,DRUG DISCOVERY & DEVELOPMENT BIOTECHNOLOGY,3
BS3014,BIOLOGICAL FOUNDATIONS OF BEHAVIOR,3
BS3018,PLANT BIOLOGY,3
BS3021,BIOIMAGING TECHNIQUES IN EM,3
BS3022,PROTEIN TRAFFICKING,3
BS3025,NUCLEAR MAGNETIC RESONANCE IN STRUCTURAL BIOLOGY,3
BS3027,LIGHT & BIOMOLECULE BEHAVIOR IN HEALTH & DISEASE,3
BS3028,NATURAL PRODUCTS IN MEDICINAL CHEMISTRY,3
BS3036,FUNDAMENTALS OF IMMUNOLOGY- CONCEPTS & EXPERIMENTS,3
BS3037,VIROLOGY,3
BS3038,INTELLECTUAL PROPERTY RIGHTS RELATED TO BIOBUSINESS,3
BS3039,EPIGENETICS & EPIGENOMICS IN HEALTH & DISEASE,3
BS3101,TREATISE ON EXOGENOUS FEBRILE DISEASES,6
BS3102,SYNOPSIS OF THE GOLDEN CHAMBER,6
BS3103,TCM INTERNSHIP II,3
BS3104,PATHOLOGY,3
BS3106,SEASONAL FEBRILE DISEASES,6
BS3107,TCM INTERNSHIP III,3
BS3108,ACUPUNCTURE & MOXIBUSTION,6
BS3109,FUNDAMENTALS OF IMMUNOLOGY,3
BS3201,INTELLECTUAL PROPERTY RIGHTS REL TO BIOBUSINESS & THEIR APPN,5
BS3202,COMMERCIALIZATION OF MOLECULAR & CELL BIOLOGY TECHNIQUES,3
BS3203,RESHAPING HEALTHCARE WITH ENGINEERING & DIGITAL REVOLUTION,3
BS3335,UAEB - PROTEINS IN HEALTH & DISEASE - BIOPHYSICAL TOOLS,3
